순번,법무법인명,주소
77,법무법인대로,서울특별시 서초구 서초동 1572의18한국아이비에스빌딩8층
78,법무법인장강,인천광역시 남구 학익동 25의12석목빌딩801호
79,법무법인대세,서울특별시 강남구 대치동 943의27 신도빌딩4층
80,법무법인한반도,서울특별시 서초구 서초동 1714-20 중산빌딩 4층
81,법무법인남산,서울특별시 중구 충무로1가 고려대연각센터빌딩 1701호
82,(대행청)장흥지청,전라남도 장흥군 장흥읍 읍성로 121-1
83,법무법인시티즌,"인천광역시 남구 소성로185번길 28 (학익동, 명인빌딩) 102호 502호 503호 504호 505호"
84,테스트법인,"서울특별시 은평구 불광로 지하 129-1 (불광동, 6호선독바위역사무소) 123"
85,반도합동법률사무소,서울특별시 서초구 방배동 1808 안석빌딩 3층
86,법무법인광개토,서울특별시 강남구 역삼동 824-24 동주빌딩 11층
87,법무법인신진,서울특별시 동대문구 전농동 620-70
88,법무법인프라임,"서울특별시 마포구 공덕동 105-153 문산빌딩 2, 3 층"
89,법무법인솔로몬,서울특별시 은평구 불광동 484-74 골든타워 4층
90,법무법인해마루,경기도 안산시 단원구 고잔동 707-4 한남법조빌딩 102호
91,법무법인공평,경기도 안양시 동안구 관양동 1597-1 한솔센트럴파크3차 2층 201호
92,법무법인부천종합,경기도 부천시 원미구 상동 다성빌딩 2층
93,법무법인대전제일,대전광역시 서구 둔산동 1389 변호사회관 508호
94,법무법인사명,"충청남도 천안시 동남구 신부동 72-36 완전빌딩 1,2,3층"
95,법무법인서면,부산광역시 부산진구 부전동 259-13 하성빌딩 5층
96,법무법인태화,울산광역시 남구 법대로 98 (옥동) .
97,법무법인세종,서울특별시 중구 순화동 1의170에이스타워6층
98,법무법인율현,서울특별시 강남구 역삼동 708의8셋방빌딩 신간15층
99,법무법인정인,부산광역시 연제구 거제동 1490의1법조타운빌딩12층
100,법무법인솔론,서울특별시 서초구 서초동 1699의16서초동현빌딩401호
101,법무법인(유한)산경,서울특별시 강남구 역삼동 677의25큰길타워502호
102,법무법인덕수,"서울특별시 강남구 강남대로 442 (역삼동, 서울역삼동우체국) 7층"
103,법무법인안민,"서울특별시 구로구 구로동 155-75 해맑은미소빌딩 3, 4층"
104,세방종합법무법인,경기도 의정부시 의정부동 141-3 한화생명빌딩 4층
105,법무법인대승,"경기도 파주시 금촌동 952-1,2 경기빌딩 2층"
106,법무법인율가,경기도 오산시 궐동 653-1 진성빌딩 3층
107,법무법인동명,경기도 안산시 단원구 고잔동 707-3 대한법조빌딩206호
108,법무법인샘,경기도 안양시 동안구 평촌동 897 칼라힐빌딩229호
109,법무법인홍주,충청남도 홍성군 홍성읍 월산리 864-1 법전빌딩 2층
110,법무법인청주로,충청북도 청주시 흥덕구 산남동 657 엔젤변호사빌딩 7층
111,법무법인장백,서울특별시 서초구 서초동 1714의20중산빌딩3층
112,법무법인한영,서울특별시 종로구 세종로 139 동아미디어센터 18층
113,법무법인세하,서울특별시 서초구 서초동 1576의1상덕빌딩4층
114,법무법인경기,경기도 수원시 영통구 매탄2동 102의22 진빌딩6층
115,법무법인상상,서울특별시 영등포구 여의도동 24의5 파이낸셜뉴스빌딩10층
116,법무법인청남,충청북도 청주시 흥덕구 산남동 592신성미소시티빌딩5층
117,법무법인위드,서울특별시 서초구 서초동 1708의10성암빌딩2층
118,대행청(부산서부지청),부산광역시 강서구 명지국제7로 67 (명지동) 부산서부지청
119,넥서스,서울특별시 영등포구 여의도동 교보증권빌딩 4층
120,이지스,서울특별시 서초구 서초동 15544 현대드림시티 6층
121,법무법인동서파트너스,서울특별시 서초구 서초동 1675의12모인터비딩2층
122,법무법인한진,서울특별시 서초구 서초동 1709의4 영포빌딩102호
123,법무법인동문,서울특별시 서초구 서초동 1714의17칠보빌딩5층
124,법무법인충무,서울특별시 서초구 서초동 1572의8 신우빌딩7층
125,법무법인정원,서울특별시 서초구 서초동 1542의14 우림빌딩4층
126,법무법인나우리,서울특별시 서초구 서초동 1699의16 서초동현빌딩3층
127,법무법인민,서울특별시 강남구 역삼동 646 현대해상화재보험빌딩14층
128,법무법인청림,서울특별시 서초구 서초동 1553의5오퓨런스빌딩1406호
129,법무법인대교,서울특별시 서초구 서초동 1574의1우서빌딩2층
130,영동합동법률사무소,서울특별시 서초구 서초동 1306-1 효봉빌딩 4층
131,법무법인한울,"서울특별시 송파구 송파대로 274 (가락동, 대한소방공제회관) 98-3 소방공제회관 6층"
132,법무법인성남종합,"경기도 성남시 수정구 수진1동 5(신흥빌딩 5,6층)"
133,모란법무법인,경기도 성남시 중원구 성남동 4182 한성빌딩 3층
134,경인법무법인,인천광역시 남구 학익2동 25-12 석목법조빌딩2층
135,법무법인동행,"울산광역시 남구 옥동 581-2 거화법률빌딩 3, 4층"
136,법무법인빛고을,광주광역시 동구 지산동 373의7지하2층
137,법무법인광교,경기도 수원시 영통구 매탄동 102의22진빌딩2층202호
138,법무법인드림,서울특별시 서초구 서초동 1573의1 서초프라자801호
